ZIP,Mean_Income,Estimated PV System Size (kWdc),PV System Size (kWac),Estimated Annual PV Energy Production (kWh)
10001,170154,112.49,95.2,132044
10002,76115,877.56,739.0,1030117
10003,222765,350.01,295.06,410844
10004,317203,134.47,113.0,157846
10005,225528,89.25,75.0,104765
10007,444574,334.64,281.4,392812
10009,122290,2254.01,1897.0,2645905
10010,217670,565.18,478.61,663407
10011,220009,194.92,164.0,228804
10012,194972,238.38,200.6,279823
10013,335135,2.34,2.0,2747
10014,227995,36.74,31.4,43125
10016,198234,82.76,69.66,97150
10019,179458,199.57,168.42,234266
10021,240154,55.67,47.58,65345
10023,230171,11.7,10.0,13734
10024,280261,107.52,91.18,126213
10025,187489,200.63,169.35,235506
10026,112171,319.63,270.48,375187
10027,103558,911.01,770.14,1069346
10028,247394,20.94,17.9,24584
10029,70923,512.44,433.7,601495
10030,76965,436.98,369.81,512933
10031,85279,288.43,245.77,338554
10032,74843,727.39,613.77,853831
10033,107765,476.14,400.76,558900
10034,81250,310.21,261.4,364119
10035,66588,304.97,259.18,357984
10036,138231,102.97,88.01,120873
10037,73954,275.44,231.66,323324
10039,69073,354.31,298.9,415906
10040,76397,208.54,176.01,244782
10044,163681,986.86,722.0,1158415
10065,253089,4.21,3.6,4944
10128,218422,2.34,2.0,2747
10280,259093,50.81,42.7,59646
10282,442237,152.24,128.0,178706
10301,111315,5206.3,4428.14,6111050
10302,90391,4384.41,3623.15,5146267
10303,92679,4643.61,3958.66,5450434
10304,100967,5143.83,4386.47,6037739
10305,100743,6092.46,5198.71,7150870
10306,111383,12062.58,10200.16,14158920
10307,136066,6373.56,5440.13,7481332
10308,126978,6770.41,5779.6,7946978
10309,133325,17231.79,14181.58,20227107
10310,108100,5409.55,4434.73,6349488
10312,123417,19886.22,16881.44,23342376
10314,116963,40907.33,32201.65,48017682
10451,54313,1034.7,872.28,1214534
10452,44666,2784.71,2346.03,3268759
10453,48372,1405.19,1189.68,1649428
10454,39741,2408.51,2029.51,2827187
10455,44713,2558.19,2011.31,3002885
10456,46133,2551.63,2157.33,2995182
10457,53193,1685.77,1426.36,1978827
10458,52267,2100.65,1660.58,2465828
10459,53656,2001.42,1691.51,2349253
10460,50458,2309.2,1953.04,2710587
10461,80905,2543.3,2163.54,2985226
